Country Name,Country Code,Year,Agriculture (% GDP),Ease of Doing Business,Education Expenditure (% GDP),Export (% GDP),GDP,Health Expenditure (% GDP),Import (% GDP),Industry (% GDP),Inflation Rate,R&D,Service (% GDP),Unemployment,Population,Land,Continent Name,Export,Import,Education Expenditure,Health Expenditure,Net Trade,GDP Per Capita,Population Density,Cluster
Cyprus,CYP,2022,1.65060874459387,72.53591800000001,15.35292407444546,91.5212690325256,28439052740.8561,6.261494771904761,91.8963653060015,13.4691554594467,8.3954829799334,127450698.423629,72.4425136263997,6.976,1251488.0,9250.190476190475,Europe,26027781969.26076,26134455796.30355,4366226174.795137,1780709800.5479422,-106673827.04279327,22724.19131534309,135.29321403935052,9
Czechia,CZE,2022,2.11184498950052,76.316346,9.930312837873188,74.8392849495541,290923534700.518,6.89463302,74.9429773008525,30.6855041595408,15.1001651468371,4355956518.884854,57.8971379527692,2.37,10526073.0,78870.05,Europe,217725093119.8356,218026758573.44696,28889617114.76,20058110086.41307,-301665453.61135864,27638.37327562881,133.46096522063826,9
Denmark,DNK,2022,0.783992186188794,84.828798,14.60862781887963,69.3139816042177,395403906582.001,9.790867415,58.686074322681,20.8732198216723,7.69656699889259,10853808905.7021,66.3079355697967,4.172,5903037.0,42920.0,Europe,274070191070.6063,232047030491.49725,57763085093.87502,38713472247.17418,42023160579.10904,66983.13200171386,137.5358108108108,12
Djibouti,DJI,2022,1.2985420039087765,52.234374,19.52396029233932,144.1635932266141,3515109075.46098,3.016357966666666,140.74006542380374,12.713866147626248,5.17980847967061,12363575558.824837,79.10506759114656,27.929,1120849.0,23200.0,Africa,5067507549.019362,4947166812.521846,686288500.1254176,106028272.63469028,120340736.49751665,3136.112960319347,48.31245689655172,8
Dominica,DMA,2022,16.5491700604528,61.096758,7.06732511520386,38.12095710109588,612048148.148148,5.14808934142857,57.9073494031046,12.0893417971232,1.317248622282006,12363575558.824837,56.2567699224825,7.458547595773403,72737.0,750.0,North America,233318611.99360725,354420859.6633793,43255432.491214186,31508785.47922575,-121102247.66977206,8414.536592767752,96.98266666666666,9
Dominican Republic,DOM,2022,5.78799123570553,58.80685199999999,22.4445571899414,22.0627315416983,113641857434.002,4.61965333952381,34.2599503901956,33.0696648657438,8.81109209279581,12363575558.824837,54.4466646011685,7.121,11228821.0,48670.0,North America,25072497924.663376,38933643979.385895,25506411683.48625,5249859862.046761,-13861146054.72252,10120.55116329684,230.7133963427163,5
Ecuador,ECU,2022,8.84162305963045,57.491414000000006,14.3392333984375,29.1718799310307,115049476000.0,6.167611509047619,28.5183836908566,31.4922538195654,3.46616972213077,282348672.87872434,53.7326993127722,3.955,18001000.0,256370.0,South America,33562094999.99998,32810250999.999977,16497212887.319336,7095804722.874978,751844000.0000038,6391.282484306427,70.21492374302765,2
"Egypt, Arab Rep.",EGY,2022,10.9457535224737,56.908326,12.172145970662427,15.0870258208479,476747720364.742,4.8886123842857145,21.8960790564233,32.7114314313038,13.8956609775178,2463305140.5149093,51.4288499840612,6.959,110990103.0,1001450.0,Africa,71927051671.73238,104389057750.75978,58030428434.60192,23306348099.55061,-32462006079.027405,4295.407495610145,110.82940036946428,2
El Salvador,SLV,2022,4.74084543804742,63.98762800000001,18.4771003723145,31.1779288319146,32488720000.0,8.563611166666666,55.6206584931632,25.1653804766701,7.19861615609868,36108213.051941045,59.5976388112551,3.822,6336392.0,21040.0,North America,10129310000.000006,18070440000.00001,6002973404.080215,2782207653.8270664,-7941130000.000006,5127.321668230122,301.15931558935364,9
Equatorial Guinea,GNQ,2022,2.55829796011421,40.074176,14.267345616902563,56.3377726270993,11813908447.8131,2.201277965238095,45.9868992433207,52.5818152703744,4.78671704710803,12363575558.824837,44.5103297037335,8.689,1674908.0,28050.0,Africa,6655692879.7026205,5432850174.593963,66009276596.85556,260056963.4951116,1222842705.1086578,7053.467084647695,59.71151515151515,3
Eritrea,ERI,2022,16.6194787250747,21.268866,5.601227402687073,8.067019855723037,1223860747.8297005,5.281036592380953,45.30279277177729,20.17219003168085,11.184434281508253,12363575558.824837,55.44930151833184,6.618,3684032.0,120884.93933333334,Africa,98729089.5338224,554443098.4044131,68551223.57816811,64632533.932673655,-455714008.8705907,332.2068722067834,30.475525076299963,2
Estonia,EST,2022,2.51573755901403,80.683998,13.614068555831915,85.501822384777,38100812958.5196,5.943276382727273,86.0656584756432,24.0189188726805,19.3982634080617,496235871.9544572,61.4599414611421,5.851,1344768.0,45271.90476190476,Europe,32576889422.949528,32791715557.32309,5187070796.502149,2264436618.190788,-214826134.37356183,28332.62909179844,29.70425050751544,9
Eswatini,SWZ,2022,10.029921150246436,58.430416,15.0532388687134,53.05395917212854,4854167638.37388,7.144652979523809,57.38054649248797,37.04812671421546,6.822903055391232,12986840.479770591,49.16253209077173,24.389,1201670.0,17360.0,Africa,2575328117.009555,2785347918.5604296,730709449.6922042,346813432.80616,-210019801.5508747,4039.518036044738,69.22062211981567,8
Ethiopia,ETH,2022,37.639031070535,45.805204,23.83381119896385,8.24504858922511,126783472501.134,4.237272694761906,18.3217870519029,22.7220072535484,12.978530204519013,372880347.14315605,36.5551203419289,4.018,123379924.0,1130158.570904762,Africa,10453358910.825356,23228997848.66564,30217333467.410534,5372161461.76152,-12775638937.840286,1027.5859182822485,109.17045375431408,1
Faroe Islands,FRO,2022,14.449340421086752,61.26969371428571,15.925170474582242,49.619154455822034,2374113478.873293,6.191188366634045,54.415306819457896,17.091161738080714,11.184434281508253,20347339.60917378,55.992701381457046,7.458547595773403,53090.0,1946.6509523809525,Europe,1178015034.038629,1291881133.771008,378081618.7706069,46703212159.75045,-113866099.73237896,44718.65659960996,27.27248042853575,9
Fiji,FJI,2022,9.16440441315596,61.653468,18.224035263061527,45.5701311426213,4943248200.0441,3.313783804761905,62.2761473602306,17.6306555416089,4.52019266394963,12363575558.824837,50.2990376250717,4.334,929766.0,18270.0,Oceania,2252644687.465363,3078464533.4414105,900859295.116691,163808558.28224576,-825819845.9760475,5316.658385060435,50.89031198686371,5
Finland,FIN,2022,2.37926495899565,80.081378,12.20921144031343,44.8914237716506,280825957768.484,8.745029608095237,47.6437964744131,25.091964496642,7.12350773301415,9028403399.375463,59.4613749114103,6.801,5556880.0,338353.14285714284,Europe,126066770762.6467,133796147766.5378,34286634963.23952,24558313154.07096,-7729377003.891098,50536.62446705418,16.423314271817443,12
France,FRA,2022,1.80484978883443,76.39845199999999,9.670713329315186,34.0127739939978,2782905325624.52,10.843351136190478,38.1307391305829,17.3828183385786,5.22236748369725,60326231963.741936,70.3181919489555,7.445,67935660.0,549101.2795238094,Europe,946543298871.5964,1061142369964.9844,269126796267.3926,301760196245.21173,-114599071093.38794,40963.83733704096,123.72154743277056,12
